Name,PD
h7_25,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[7,10,11,8],X[12,13,14,15],X[1,12,9,11],X[4,13,0,16],X[15,14,3,17],X[10,18,16,2],X[17,5,18,6]"
h7_29,"V[0,1,2],V[3,4,1],X[2,4,5,6],X[7,6,8,9],X[9,8,10,11],X[10,5,12,13],X[14,12,3,15],X[13,14,16,17],X[18,15,0,7],X[19,20,17,16],X[20,19,18,11]"
h7_31,"V[0,1,2],V[3,4,1],X[5,6,7,8],X[6,5,9,0],X[10,11,12,7],X[13,14,3,9],X[15,13,8,12],X[14,15,16,4],X[11,10,2,16]"
h7_35,"V[0,1,2],V[3,1,4],X[5,2,3,6],X[7,8,9,10],X[10,9,11,0],X[4,11,12,13],X[14,15,8,7],X[13,12,15,16],X[6,16,14,5]"
h7_36,"V[0,1,2],V[3,4,1],X[5,6,2,7],X[4,8,9,7],X[8,10,11,9],X[12,13,5,11],X[14,0,6,15],X[10,3,14,16],X[13,12,16,15]"
h2_1#3_1,"V[0,1,2],V[3,4,2],X[5,6,7,1],X[6,5,0,4],X[8,9,3,10],X[11,8,10,12],X[9,11,12,7]"
h2_1.1#3h2_1.1,"V[0,1,2],V[3,4,5],X[4,6,7,2],X[6,3,8,7],X[1,9,10,5],X[8,10,9,0]"
h2_1.1#3+t3_1,"V[0,1,2],V[3,2,4],X[5,6,7,4],X[6,8,9,7],X[10,11,0,12],X[11,10,5,1],X[8,12,3,9]"
h2_1.1#3-t3_1,"V[0,1,2],V[3,2,4],X[5,6,4,7],X[8,9,6,5],X[10,11,0,12],X[11,10,7,1],X[12,3,9,8]"
h2_1.2#3+t3_1,"V[0,1,2],V[3,2,4],X[5,6,7,4],X[6,8,9,7],X[10,0,11,12],X[12,5,1,10],X[8,11,3,9]"
h2_1.2#3-t3_1,"V[0,1,2],V[3,2,4],X[4,5,6,7],X[7,6,8,9],X[10,11,12,0],X[1,12,11,5],X[9,8,10,3]"
