Name,PD
-t6_11,"V[0,1,2],V[3,4,1],X[5,6,7,8],X[9,7,10,2],X[0,10,11,12],X[8,9,4,13],X[12,11,6,14],X[14,5,13,3]"
+t6_12,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[2,10,11,12],X[13,14,7,15],X[10,16,4,11],X[16,1,13,5],X[14,0,12,8],X[9,3,15,6]"
-t6_12,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,2,11,12],X[13,14,15,6],X[12,11,16,4],X[1,14,5,16],X[7,15,0,10],X[3,13,9,8]"
+t6_13,"V[0,1,2],V[3,1,4],X[2,5,6,7],X[4,8,9,10],X[11,9,12,13],X[13,14,10,11],X[8,0,7,12],X[5,3,14,6]"
-t6_13,"V[0,1,2],V[3,1,4],X[5,2,6,7],X[8,4,9,10],X[10,11,12,13],X[14,8,13,12],X[11,9,0,5],X[7,6,3,14]"
t6_14.1,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,11,12,13],X[4,11,2,7],X[13,12,14,15],X[16,0,10,17],X[1,16,18,8],X[5,6,9,18],X[15,14,3,17]"
t6_14.2,"V[0,1,2],V[3,4,2],X[5,6,1,7],X[7,8,9,5],X[10,8,11,12],X[11,0,4,13],X[13,3,6,14],X[15,10,12,16],X[9,15,16,14]"
t6_15.1,"V[0,1,2],V[3,1,4],X[5,6,7,8],X[2,9,8,10],X[6,11,12,13],X[13,12,4,14],X[14,0,10,7],X[9,3,11,5]"
t6_15.2,"V[0,1,2],V[3,4,5],X[6,2,7,4],X[8,9,10,11],X[3,12,8,6],X[9,13,14,10],X[13,12,15,14],X[15,16,17,18],X[18,17,0,11],X[1,16,5,7]"
-t6_16,"V[0,1,2],V[3,1,4],X[2,5,6,7],X[8,9,10,11],X[11,4,12,8],X[13,10,14,15],X[15,14,9,16],X[12,0,7,16],X[5,3,13,6]"
+t6_16,"V[0,1,2],V[3,2,4],X[4,1,5,6],X[7,5,8,9],X[9,8,0,10],X[11,12,13,10],X[12,14,15,13],X[14,16,7,15],X[6,16,11,3]"
+t7_20,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[2,10,9,8],X[7,6,11,3],X[12,0,5,13],X[10,14,15,11],X[15,16,13,4],X[1,12,16,14]"
-t7_20,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[9,2,10,6],X[3,8,7,11],X[12,13,0,5],X[11,10,14,15],X[16,12,4,15],X[14,1,13,16]"
+t7_25,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[6,9,10,7],X[9,11,12,10],X[11,13,14,12],X[4,1,15,16],X[0,5,8,15],X[13,3,16,14]"
-t7_25,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[8,7,9,10],X[10,9,11,12],X[12,11,13,14],X[15,4,1,16],X[16,0,6,5],X[14,13,3,15]"
+t7_26,"V[0,1,2],V[3,4,0],X[5,6,7,8],X[6,9,10,7],X[9,2,11,10],X[1,12,13,11],X[12,14,15,13],X[14,4,16,15],X[3,5,8,16]"
-t7_26,"V[0,1,2],V[3,4,0],X[5,6,7,8],X[8,7,9,10],X[10,9,2,11],X[11,1,12,13],X[13,12,14,15],X[15,14,4,16],X[16,3,6,5]"
+t7_27,"V[0,1,2],V[1,3,4],X[3,5,6,7],X[2,8,9,10],X[8,11,12,9],X[11,13,14,12],X[13,15,16,14],X[15,4,7,16],X[5,0,10,6]"
-t7_27,"V[0,1,2],V[1,3,4],X[5,3,6,7],X[8,2,9,10],X[10,9,11,12],X[12,11,13,14],X[14,13,15,16],X[16,15,4,5],X[7,6,0,8]"
+t7_28,"V[0,1,2],V[3,4,1],X[0,5,6,7],X[5,8,9,6],X[8,2,4,10],X[11,12,13,14],X[12,11,10,3],X[15,16,7,9],X[16,15,14,13]"
-t7_28,"V[0,1,2],V[3,4,1],X[5,0,6,7],X[7,6,8,9],X[10,8,2,4],X[11,12,13,14],X[3,13,12,10],X[9,15,16,5],X[14,16,15,11]"
+t7_29,"V[0,1,2],V[3,4,2],X[5,6,7,1],X[6,8,9,10],X[11,12,13,14],X[12,11,10,9],X[8,5,0,4],X[15,16,14,13],X[16,15,3,7]"
-t7_29,"V[0,1,2],V[3,4,2],X[1,5,6,7],X[8,6,9,10],X[11,12,13,14],X[10,13,12,8],X[4,9,5,0],X[14,15,16,11],X[7,16,15,3]"
+t7_30,"V[0,1,2],V[3,4,2],X[5,6,7,8],X[6,0,9,10],X[11,12,4,13],X[12,11,10,9],X[1,5,8,14],X[15,16,14,7],X[16,15,13,3]"
