2 - 23 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 24 - 3 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t - 1/t**2 + 2/t**3 - 1/t**4 + t**(-5) - 1/t**6 - A**(-4) - 1/A**8 + 2/A**12 - 1/A**16 + A**(-20) - 1/A**24
2 - 25 - 4 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - t**2 - t + 1 - 1/t + t**(-2) - A**8 - A**4 + 1 - 1/A**4 + A**(-8)
2 - 26 - 2 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 27 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 28 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 29 - 2 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 30 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 31 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 32 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 33 - 3 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t - 1/t**2 + 2/t**3 - 1/t**4 + t**(-5) - 1/t**6 - A**(-4) - 1/A**8 + 2/A**12 - 1/A**16 + A**(-20) - 1/A**24
2 - 34 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 35 - 1 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 36 - 2 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 37 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 38 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 39 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 40 - 1 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 41 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 42 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 43 - 0 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
