Name,PD Notation,Alexander,Jones,Conway,Kauffman,HOMFLY
7_4,[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]],4-7*t+4*t^2,t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,1+4*z^2,(-a^(-8)+2*a^(-4))*z^(0)+(4*a^(-9)+4*a^(-7))*z^(1)+(2*a^(-8)-3*a^(-6)-4*a^(-4)+a^(-2))*z^(2)+(-4*a^(-9)-8*a^(-7)-2*a^(-5)+2*a^(-3))*z^(3)+(-3*a^(-8)+3*a^(-4))*z^(4)+(a^(-9)+3*a^(-7)+2*a^(-5))*z^(5)+(a^(-8)+a^(-6))*z^(6),(2*v^4-v^8)+(v^2+2*v^4+v^6)*z^2
7_5,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],2-4*t+5*t^2-4*t^3+2*t^4,t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,1+4*z^2+2*z^4,(-a^(-8)+2*a^(-4))*z^(0)+(-a^(-11)+a^(-9)+a^(-7)-a^(-5))*z^(1)+(-2*a^(-10)+a^(-8)-3*a^(-4))*z^(2)+(a^(-11)-2*a^(-9)-4*a^(-7)-a^(-5))*z^(3)+(2*a^(-10)-a^(-6)+a^(-4))*z^(4)+(2*a^(-9)+3*a^(-7)+a^(-5))*z^(5)+(a^(-8)+a^(-6))*z^(6),(2*v^4-v^8)+(3*v^4+2*v^6-v^8)*z^2+(v^4+v^6)*z^4
7_6,[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]],1-5*t+7*t^2-5*t^3+t^4,t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6,1+z^2-z^4,(a^(-6)+2*a^(-4)+a^(-2)+1)*z^(0)+(-a^(-7)+2*a^(-3)+a^(-1))*z^(1)+(-2*a^(-6)-4*a^(-4)-4*a^(-2)-2)*z^(2)+(a^(-7)-a^(-5)-6*a^(-3)-4*a^(-1))*z^(3)+(2*a^(-6)+2*a^(-4)+a^(-2)+1)*z^(4)+(2*a^(-5)+4*a^(-3)+2*a^(-1))*z^(5)+(a^(-4)+a^(-2))*z^(6),(1-v^2+2*v^4-v^6)+(1-2*v^2+2*v^4)*z^2-v^2*z^4
7_7,[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]],1-5*t+9*t^2-5*t^3+t^4,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3,1-z^2+z^4,(2+2*a^2+a^4)*z^(0)+(a^(-1)+3*a+2*a^3)*z^(1)+(-3*a^(-2)-7-6*a^2-2*a^4)*z^(2)+(a^(-3)-3*a^(-1)-8*a-4*a^3)*z^(3)+(3*a^(-2)+4+2*a^2+a^4)*z^(4)+(3*a^(-1)+5*a+2*a^3)*z^(5)+(1+a^2)*z^(6),(v^(-4)-2*v^(-2)+2)+(-2*v^(-2)+2-v^2)*z^2+z^4
8_1,[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]],3-7*t+3*t^2,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6,1-3*z^2,(-a^(-6)-a^(-4)-a^2)*z^(0)+(-3*a^(-5)-3*a^(-3))*z^(1)+(6*a^(-6)+7*a^(-4)+a^2)*z^(2)+(7*a^(-5)+5*a^(-3)-a^(-1)+a)*z^(3)+(-5*a^(-6)-8*a^(-4)-2*a^(-2)+1)*z^(4)+(-5*a^(-5)-4*a^(-3)+a^(-1))*z^(5)+(a^(-6)+2*a^(-4)+a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),(v^(-2)-v^4+v^6)+(-1-v^2-v^4)*z^2
8_2,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]],1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6,1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8,1-3*z^4-z^6,(-a^(-6)-3*a^(-4)-3*a^(-2))*z^(0)+(-a^(-9)-a^(-7)+a^(-5)+a^(-3))*z^(1)+(a^(-10)-a^(-8)+3*a^(-6)+12*a^(-4)+7*a^(-2))*z^(2)+(2*a^(-9)-2*a^(-7)-a^(-5)+3*a^(-3))*z^(3)+(2*a^(-8)-5*a^(-6)-12*a^(-4)-5*a^(-2))*z^(4)+(2*a^(-7)-2*a^(-5)-4*a^(-3))*z^(5)+(2*a^(-6)+3*a^(-4)+a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),(3*v^2-3*v^4+v^6)+(4*v^2-7*v^4+3*v^6)*z^2+(v^2-5*v^4+v^6)*z^4-v^4*z^6
8_3,[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]],4-9*t+4*t^2,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4,1-4*z^2,(a^(-4)-1+a^4)*z^(0)+(-4*a^(-1)-4*a)*z^(1)+(-3*a^(-4)+a^(-2)+8+a^2-3*a^4)*z^(2)+(-2*a^(-3)+8*a^(-1)+8*a-2*a^3)*z^(3)+(a^(-4)-2*a^(-2)-6-2*a^2+a^4)*z^(4)+(a^(-3)-4*a^(-1)-4*a+a^3)*z^(5)+(a^(-2)+2+a^2)*z^(6)+(a^(-1)+a)*z^(7),(v^(-4)-1+v^4)+(-v^(-2)-2-v^2)*z^2
8_4,[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]],2-5*t+5*t^2-5*t^3+2*t^4,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3,1-3*z^2-2*z^4,(-2*a^(-2)-2+a^4) +(-a^(-1)+a+2*a^3)*z^1 +(7*a^(-2)+10-a^2-3*a^4+a^6)*z^2 +(4*a^(-1)-3*a-5*a^3+2*a^5)*z^3 +(-5*a^(-2)-11-3*a^2+3*a^4)*z^4 +(-4*a^(-1)-a+3*a^3)*z^5 +(a^(-2)+3+2*a^2)*z^6 +(a^(-1)+a)*z^7,(v^(-4)-2+2*v^2)+(v^(-4)-2*v^(-2)-3+v^2)*z^2+(-v^(-2)-1)*z^4
8_5,[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]],1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6,1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,1-z^2-3*z^4-z^6,(-2*a^(-6)-5*a^(-4)-4*a^(-2))*z^(0)+(4*a^(-7)+7*a^(-5)+3*a^(-3))*z^(1)+(a^(-10)-2*a^(-8)+4*a^(-6)+15*a^(-4)+8*a^(-2))*z^(2)+(2*a^(-9)-8*a^(-7)-10*a^(-5))*z^(3)+(3*a^(-8)-7*a^(-6)-15*a^(-4)-5*a^(-2))*z^(4)+(4*a^(-7)+a^(-5)-3*a^(-3))*z^(5)+(3*a^(-6)+4*a^(-4)+a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),(4*v^2-5*v^4+2*v^6)+(4*v^2-8*v^4+3*v^6)*z^2+(v^2-5*v^4+v^6)*z^4-v^4*z^6
8_6,[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]],2-6*t+7*t^2-6*t^3+2*t^4,t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7,1-2*z^2-2*z^4,(-a^(-6)-a^(-4)+a^(-2)+2)*z^(0)+(a^(-7)-a^(-5)-3*a^(-3)-a^(-1))*z^(1)+(-2*a^(-8)+3*a^(-6)+6*a^(-4)-2*a^(-2)-3)*z^(2)+(-4*a^(-7)+2*a^(-5)+5*a^(-3)-a^(-1))*z^(3)+(a^(-8)-4*a^(-6)-6*a^(-4)+1)*z^(4)+(2*a^(-7)-a^(-5)-2*a^(-3)+a^(-1))*z^(5)+(2*a^(-6)+3*a^(-4)+a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),(2-v^2-v^4+v^6)+(1-2*v^2-2*v^4+v^6)*z^2+(-v^2-v^4)*z^4
