native notation
a=X(c1 d0 d3 c2) b=X(d1 e0 e3 d2) c=X(e1 a0 a3 e2) d=X(a1 b0 b3 a2) e=X(b1 c0 c3 b2)
a=X(c1 c0 d3 b2) b=X(d1 e0 a3 d2) c=X(a1 a0 e3 e2) d=X(e1 b0 b3 a2) e=X(b1 d0 c3 c2)
a=X(b1 c0 c3 b2) b=X(c1 a0 a3 c2) c=X(a1 b0 b3 a2)
a=X(c3 d0 b3 b2) b=X(d3 c0 a3 a2) c=X(b1 d2 d1 a0) d=X(a1 c2 c1 b0)
a=V(a1 a0)
