name,native notation,symmetry
10_18,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 f3 a2) d=X(b1 g0 e1 b2) e=X(c1 d2 h3 f0) f=X(e3 h2 g1 c2) g=X(d1 f2 i3 j0) h=X(j3 i0 f1 e2) i=X(h1 j2 j1 g2) j=X(g3 i2 i1 h0) ['name'='10_18'],reversible
10_19,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 f3 a2) d=X(b1 f2 g3 b2) e=X(c1 h0 h3 i0) f=X(i3 g0 d1 c2) g=X(f1 i2 j3 d2) h=X(e1 j2 j1 e2) i=X(e3 j0 g1 f0) j=X(i1 h2 h1 g2) ['name'='10_19'],reversible
10_20,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 d1 a2) d=X(b1 c2 f3 f2) e=X(g3 h0 c1 b2) f=X(i3 i2 d3 d2) g=X(j3 h2 h1 e0) h=X(e1 g2 g1 j2) i=X(j1 j0 f1 f0) j=X(i1 i0 h3 g0) ['name'='10_20'],reversible
10_21,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 f3 b0) e=X(b1 g0 h3 c0) f=X(d1 i0 i3 d2) g=X(e1 j0 j3 h0) h=X(g3 j2 i1 e2) i=X(f1 h2 j1 f2) j=X(g1 i2 h1 g2) ['name'='10_21'],reversible
10_22,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 d1 a2) d=X(b1 c2 f3 f2) e=X(g3 h0 c1 b2) f=X(h3 i0 d3 d2) g=X(j3 j2 h1 e0) h=X(e1 g2 i1 f0) i=X(f1 h2 j1 j0) j=X(i3 i2 g1 g0) ['name'='10_22'],reversible
10_23,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 h3 i0) e=X(j3 j2 c1 b2) f=X(h1 g2 g1 c2) g=X(d1 f2 f1 h0) h=X(g3 f0 i1 d2) i=X(d3 h2 j1 j0) j=X(i3 i2 e1 e0) ['name'='10_23'],reversible
10_24,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 g2 h3 b0) e=X(b1 h2 h1 c0) f=X(c1 i0 i3 j0) g=X(j3 j2 d1 d0) h=X(i1 e2 e1 d2) i=X(f1 h0 j1 f2) j=X(f3 i2 g1 g0) ['name'='10_24'],reversible
10_25,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 g3 h0) e=X(i3 i2 c1 b2) f=X(i1 j0 j3 c2) g=X(d1 j2 h1 d2) h=X(d3 g2 j1 i0) i=X(h3 f0 e1 e0) j=X(f1 h2 g1 f2) ['name'='10_25'],reversible
10_26,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 g3 b0) e=X(b1 g2 h3 c0) f=X(d1 h2 i3 i2) g=X(j3 h0 e1 d2) h=X(g1 j2 f1 e2) i=X(j1 j0 f3 f2) j=X(i1 i0 h1 g0) ['name'='10_26'],reversible
10_27,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 g3 b0) e=X(b1 g2 h3 c0) f=X(d1 i0 j3 g0) g=X(f3 j2 e1 d2) h=X(j1 i2 i1 e2) i=X(f1 h2 h1 j0) j=X(i3 h0 g1 f2) ['name'='10_27'],reversible
10_28,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 g3 e0) e=X(d3 h0 c1 b2) f=X(h3 i0 i3 c2) g=X(d1 j0 j3 d2) h=X(e1 j2 i1 f0) i=X(f1 h2 j1 f2) j=X(g1 i2 h1 g2) ['name'='10_28'],reversible
10_29,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 h3 i0) e=X(j3 f0 c1 b2) f=X(e1 g2 g1 c2) g=X(d1 f2 f1 j2) h=X(j1 i2 i1 d2) i=X(d3 h2 h1 j0) j=X(i3 h0 g3 e0) ['name'='10_29'],reversible
10_30,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 i3 b0) e=X(b1 j0 f1 c0) f=X(c1 e2 g1 g0) g=X(f3 f2 h1 d0) h=X(d1 g2 j3 i0) i=X(h3 j2 j1 d2) j=X(e1 i2 i1 h2) ['name'='10_30'],reversible
10_31,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 f2 g3 e0) e=X(d3 g2 c1 b2) f=X(h3 h2 d1 c2) g=X(i3 j0 e1 d2) h=X(j3 i0 f1 f0) i=X(h1 j2 j1 g0) j=X(g1 i2 i1 h0) ['name'='10_31'],reversible
10_32,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 e1 b0) e=X(b1 d2 h3 c0) f=X(c1 h2 i3 j0) g=X(j3 i0 h1 d0) h=X(d1 g2 f1 e2) i=X(g1 j2 j1 f2) j=X(f3 i2 i1 g0) ['name'='10_32'],reversible
10_33,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 e1 b0) e=X(b1 d2 h3 c0) f=X(c1 i0 i3 g0) g=X(f3 j0 h1 d0) h=X(d1 g2 j3 e2) i=X(f1 j2 j1 f2) j=X(g1 i2 i1 h2) ['name'='10_33'],fully amphicheiral
10_34,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 h0 i3 c2) f=X(d1 i2 g1 g0) g=X(f3 f2 j3 d2) h=X(e1 j2 j1 i0) i=X(h3 j0 f1 e2) j=X(i1 h2 h1 g2) ['name'='10_34'],reversible
