name,kauffman
12a_11,z**7/a - 3*z**5/a + 2*z**3/a + 4*z**8/a**2 - 14*z**6/a**2 + 15*z**4/a**2 - 6*z**2/a**2 + 6*z**9/a**3 - 18*z**7/a**3 + 14*z**5/a**3 - 5*z**3/a**3 + 2*z/a**3 + 4*z**10/a**4 - 34*z**6/a**4 + 50*z**4/a**4 - 28*z**2/a**4 + 5/a**4 + z**11/a**5 + 14*z**9/a**5 - 51*z**7/a**5 + 53*z**5/a**5 - 24*z**3/a**5 + 5*z/a**5 + 8*z**10/a**6 - 5*z**8/a**6 - 42*z**6/a**6 + 73*z**4/a**6 - 43*z**2/a**6 + 8/a**6 + z**11/a**7 + 15*z**9/a**7 - 47*z**7/a**7 + 51*z**5/a**7 - 23*z**3/a**7 + 5*z/a**7 + 4*z**10/a**8 + 6*z**8/a**8 - 36*z**6/a**8 + 54*z**4/a**8 - 31*z**2/a**8 + 6/a**8 + 7*z**9/a**9 - 10*z**7/a**9 + 8*z**5/a**9 - 3*z**3/a**9 + z/a**9 + 7*z**8/a**10 - 11*z**6/a**10 + 11*z**4/a**10 - 8*z**2/a**10 + 2/a**10 + 5*z**7/a**11 - 6*z**5/a**11 + z**3/a**11 + 3*z**6/a**12 - 5*z**4/a**12 + 2*z**2/a**12 + z**5/a**13 - 2*z**3/a**13 + z/a**13
12a_12,a*z**5 - a*z**3 + 4*z**6 - 6*z**4 + 3*z**2 + 7*z**7/a - 9*z**5/a + 4*z**3/a - z/a + 8*z**8/a**2 - 5*z**6/a**2 - 8*z**4/a**2 + 9*z**2/a**2 - 2/a**2 + 7*z**9/a**3 - z**7/a**3 - 13*z**5/a**3 + 12*z**3/a**3 - 3*z/a**3 + 4*z**10/a**4 + 6*z**8/a**4 - 17*z**6/a**4 + 5*z**4/a**4 + 4*z**2/a**4 - 1/a**4 + z**11/a**5 + 12*z**9/a**5 - 24*z**7/a**5 + 9*z**5/a**5 + 4*z**3/a**5 - 3*z/a**5 + 7*z**10/a**6 - 5*z**8/a**6 - 17*z**6/a**6 + 20*z**4/a**6 - 8*z**2/a**6 + a**(-6) + z**11/a**7 + 9*z**9/a**7 - 27*z**7/a**7 + 19*z**5/a**7 - 3*z**3/a**7 - z/a**7 + 3*z**10/a**8 - 20*z**6/a**8 + 26*z**4/a**8 - 12*z**2/a**8 + 2/a**8 + 4*z**9/a**9 - 10*z**7/a**9 + 3*z**5/a**9 + 5*z**3/a**9 - 2*z/a**9 + 3*z**8/a**10 - 11*z**6/a**10 + 13*z**4/a**10 - 6*z**2/a**10 + a**(-10) + z**7/a**11 - 4*z**5/a**11 + 5*z**3/a**11 - 2*z/a**11
12a_13,a**5*z**5 + 5*a**4*z**6 - 2*a**4*z**4 + 13*a**3*z**7 - 13*a**3*z**5 + 5*a**3*z**3 - a**3*z + 21*a**2*z**8 - 31*a**2*z**6 + 19*a**2*z**4 - 7*a**2*z**2 + a**2 + 20*a*z**9 - 22*a*z**7 - 3*a*z**5 + 7*a*z**3 - 2*a*z + 10*z**10 + 19*z**8 - 78*z**6 + 67*z**4 - 24*z**2 + 4 + 2*z**11/a + 35*z**9/a - 83*z**7/a + 50*z**5/a - 7*z**3/a - z/a + 16*z**10/a**2 - 6*z**8/a**2 - 64*z**6/a**2 + 79*z**4/a**2 - 32*z**2/a**2 + 4/a**2 + 2*z**11/a**3 + 22*z**9/a**3 - 66*z**7/a**3 + 54*z**5/a**3 - 13*z**3/a**3 + 6*z**10/a**4 - 34*z**6/a**4 + 46*z**4/a**4 - 21*z**2/a**4 + 3/a**4 + 7*z**9/a**5 - 17*z**7/a**5 + 12*z**5/a**5 - z**3/a**5 - z/a**5 + 4*z**8/a**6 - 12*z**6/a**6 + 13*z**4/a**6 - 6*z**2/a**6 + a**(-6) + z**7/a**7 - 3*z**5/a**7 + 3*z**3/a**7 - z/a**7
12a_14,a**2*z**6 - a**2*z**4 + 5*a*z**7 - 7*a*z**5 + 2*a*z**3 + 12*z**8 - 23*z**6 + 15*z**4 - 6*z**2 + 2 + 15*z**9/a - 26*z**7/a + 13*z**5/a - 5*z**3/a + z/a + 9*z**10/a**2 + 8*z**8/a**2 - 53*z**6/a**2 + 52*z**4/a**2 - 21*z**2/a**2 + 3/a**2 + 2*z**11/a**3 + 31*z**9/a**3 - 78*z**7/a**3 + 63*z**5/a**3 - 22*z**3/a**3 + 3*z/a**3 + 16*z**10/a**4 - 5*z**8/a**4 - 53*z**6/a**4 + 68*z**4/a**4 - 29*z**2/a**4 + 4/a**4 + 2*z**11/a**5 + 26*z**9/a**5 - 65*z**7/a**5 + 56*z**5/a**5 - 20*z**3/a**5 + 3*z/a**5 + 7*z**10/a**6 + 7*z**8/a**6 - 40*z**6/a**6 + 45*z**4/a**6 - 20*z**2/a**6 + 3/a**6 + 10*z**9/a**7 - 14*z**7/a**7 + 5*z**5/a**7 + 8*z**8/a**8 - 15*z**6/a**8 + 11*z**4/a**8 - 5*z**2/a**8 + a**(-8) + 4*z**7/a**9 - 8*z**5/a**9 + 5*z**3/a**9 - z/a**9 + z**6/a**10 - 2*z**4/a**10 + z**2/a**10
12a_15,a**5*z**5 + 5*a**4*z**6 - 2*a**4*z**4 + 13*a**3*z**7 - 13*a**3*z**5 + 5*a**3*z**3 - a**3*z + 21*a**2*z**8 - 31*a**2*z**6 + 19*a**2*z**4 - 7*a**2*z**2 + a**2 + 20*a*z**9 - 22*a*z**7 - 3*a*z**5 + 7*a*z**3 - 2*a*z + 10*z**10 + 19*z**8 - 78*z**6 + 67*z**4 - 24*z**2 + 4 + 2*z**11/a + 35*z**9/a - 83*z**7/a + 50*z**5/a - 7*z**3/a - z/a + 16*z**10/a**2 - 6*z**8/a**2 - 64*z**6/a**2 + 79*z**4/a**2 - 32*z**2/a**2 + 4/a**2 + 2*z**11/a**3 + 22*z**9/a**3 - 66*z**7/a**3 + 54*z**5/a**3 - 13*z**3/a**3 + 6*z**10/a**4 - 34*z**6/a**4 + 46*z**4/a**4 - 21*z**2/a**4 + 3/a**4 + 7*z**9/a**5 - 17*z**7/a**5 + 12*z**5/a**5 - z**3/a**5 - z/a**5 + 4*z**8/a**6 - 12*z**6/a**6 + 13*z**4/a**6 - 6*z**2/a**6 + a**(-6) + z**7/a**7 - 3*z**5/a**7 + 3*z**3/a**7 - z/a**7
12a_16,a**6*z**6 - 2*a**6*z**4 + a**6*z**2 + 4*a**5*z**7 - 8*a**5*z**5 + 4*a**5*z**3 - a**5*z + 8*a**4*z**8 - 17*a**4*z**6 + 12*a**4*z**4 - 7*a**4*z**2 + 2*a**4 + 9*a**3*z**9 - 15*a**3*z**7 + 5*a**3*z**5 + 5*a**2*z**10 + 8*a**2*z**8 - 42*a**2*z**6 + 50*a**2*z**4 - 26*a**2*z**2 + 5*a**2 + a*z**11 + 20*a*z**9 - 49*a*z**7 + 40*a*z**5 - 10*a*z**3 + a*z + 9*z**10 + 4*z**8 - 51*z**6 + 69*z**4 - 34*z**2 + 6 + z**11/a + 18*z**9/a - 40*z**7/a + 27*z**5/a - 3*z**3/a - z/a + 4*z**10/a**2 + 11*z**8/a**2 - 42*z**6/a**2 + 44*z**4/a**2 - 21*z**2/a**2 + 3/a**2 + 7*z**9/a**3 - 6*z**7/a**3 - 9*z**5/a**3 + 9*z**3/a**3 - 2*z/a**3 + 7*z**8/a**4 - 14*z**6/a**4 + 9*z**4/a**4 - 4*z**2/a**4 + a**(-4) + 4*z**7/a**5 - 9*z**5/a**5 + 6*z**3/a**5 - z/a**5 + z**6/a**6 - 2*z**4/a**6 + z**2/a**6
12a_17,a**9*z**5 + 5*a**8*z**6 - 3*a**8*z**4 + 12*a**7*z**7 - 14*a**7*z**5 + 5*a**7*z**3 - a**7*z + 17*a**6*z**8 - 24*a**6*z**6 + 13*a**6*z**4 - 5*a**6*z**2 + a**6 + 14*a**5*z**9 - 7*a**5*z**7 - 19*a**5*z**5 + 15*a**5*z**3 - 3*a**5*z + 6*a**4*z**10 + 25*a**4*z**8 - 79*a**4*z**6 + 68*a**4*z**4 - 25*a**4*z**2 + 4*a**4 + a**3*z**11 + 28*a**3*z**9 - 57*a**3*z**7 + 20*a**3*z**5 + 10*a**3*z**3 - 4*a**3*z + 10*a**2*z**10 + 11*a**2*z**8 - 85*a**2*z**6 + 98*a**2*z**4 - 42*a**2*z**2 + 6*a**2 + a*z**11 + 20*a*z**9 - 53*a*z**7 + 33*a*z**5 + 2*a*z**3 - 4*a*z + 4*z**10 + 7*z**8 - 48*z**6 + 61*z**4 - 29*z**2 + 5 + 6*z**9/a - 14*z**7/a + 6*z**5/a + 5*z**3/a - 3*z/a + 4*z**8/a**2 - 13*z**6/a**2 + 15*z**4/a**2 - 7*z**2/a**2 + a**(-2) + z**7/a**3 - 3*z**5/a**3 + 3*z**3/a**3 - z/a**3
12a_18,a**8*z**4 + 4*a**7*z**5 - 2*a**7*z**3 + 8*a**6*z**6 - 7*a**6*z**4 + 2*a**6*z**2 + 11*a**5*z**7 - 12*a**5*z**5 + 3*a**5*z**3 - a**5*z + 12*a**4*z**8 - 16*a**4*z**6 + 2*a**4*z**4 + a**4 + 10*a**3*z**9 - 13*a**3*z**7 - 7*a**3*z**5 + 9*a**3*z**3 - 2*a**3*z + 5*a**2*z**10 + 5*a**2*z**8 - 45*a**2*z**6 + 47*a**2*z**4 - 18*a**2*z**2 + 3*a**2 + a*z**11 + 16*a*z**9 - 59*a*z**7 + 54*a*z**5 - 13*a*z**3 + 8*z**10 - 15*z**8 - 26*z**6 + 62*z**4 - 34*z**2 + 6 + z**11/a + 9*z**9/a - 49*z**7/a + 67*z**5/a - 31*z**3/a + 4*z/a + 3*z**10/a**2 - 7*z**8/a**2 - 10*z**6/a**2 + 34*z**4/a**2 - 25*z**2/a**2 + 5/a**2 + 3*z**9/a**3 - 14*z**7/a**3 + 22*z**5/a**3 - 14*z**3/a**3 + 3*z/a**3 + z**8/a**4 - 5*z**6/a**4 + 9*z**4/a**4 - 7*z**2/a**4 + 2/a**4
12a_19,a**2*z**6 - 2*a**2*z**4 + 4*a*z**7 - 9*a*z**5 + 3*a*z**3 + 8*z**8 - 21*z**6 + 18*z**4 - 8*z**2 + 2 + 9*z**9/a - 21*z**7/a + 18*z**5/a - 8*z**3/a + 2*z/a + 5*z**10/a**2 + 4*z**8/a**2 - 38*z**6/a**2 + 55*z**4/a**2 - 27*z**2/a**2 + 4/a**2 + z**11/a**3 + 19*z**9/a**3 - 57*z**7/a**3 + 66*z**5/a**3 - 30*z**3/a**3 + 5*z/a**3 + 9*z**10/a**4 - 2*z**8/a**4 - 38*z**6/a**4 + 63*z**4/a**4 - 35*z**2/a**4 + 6/a**4 + z**11/a**5 + 17*z**9/a**5 - 43*z**7/a**5 + 41*z**5/a**5 - 19*z**3/a**5 + 3*z/a**5 + 4*z**10/a**6 + 9*z**8/a**6 - 37*z**6/a**6 + 38*z**4/a**6 - 20*z**2/a**6 + 4/a**6 + 7*z**9/a**7 - 7*z**7/a**7 - 7*z**5/a**7 + 6*z**3/a**7 - z/a**7 + 7*z**8/a**8 - 14*z**6/a**8 + 8*z**4/a**8 - 3*z**2/a**8 + a**(-8) + 4*z**7/a**9 - 9*z**5/a**9 + 6*z**3/a**9 - z/a**9 + z**6/a**10 - 2*z**4/a**10 + z**2/a**10
12a_20,a**5*z**5 - a**5*z**3 + 4*a**4*z**6 - 5*a**4*z**4 + a**4*z**2 + 8*a**3*z**7 - 11*a**3*z**5 + 5*a**3*z**3 - a**3*z + 11*a**2*z**8 - 17*a**2*z**6 + 13*a**2*z**4 - 6*a**2*z**2 + a**2 + 10*a*z**9 - 10*a*z**7 - 2*a*z**5 + 7*a*z**3 - 2*a*z + 5*z**10 + 13*z**8 - 53*z**6 + 60*z**4 - 27*z**2 + 5 + z**11/a + 21*z**9/a - 53*z**7/a + 39*z**5/a - 7*z**3/a - z/a + 9*z**10/a**2 + 2*z**8/a**2 - 60*z**6/a**2 + 79*z**4/a**2 - 38*z**2/a**2 + 6/a**2 + z**11/a**3 + 17*z**9/a**3 - 51*z**7/a**3 + 39*z**5/a**3 - 8*z**3/a**3 - z/a**3 + 4*z**10/a**4 + 4*z**8/a**4 - 41*z**6/a**4 + 51*z**4/a**4 - 24*z**2/a**4 + 4/a**4 + 6*z**9/a**5 - 15*z**7/a**5 + 7*z**5/a**5 + 3*z**3/a**5 - 2*z/a**5 + 4*z**8/a**6 - 13*z**6/a**6 + 14*z**4/a**6 - 6*z**2/a**6 + a**(-6) + z**7/a**7 - 3*z**5/a**7 + 3*z**3/a**7 - z/a**7
