name,native notation
L8a_1++,a=X(b3o c0o c3i d0i) b=X(e3i f0o c1o a0i) c=X(a1i b2i g3o a2o) d=X(a3o g2o h3i e0i) e=X(d3o h2i f1i b0o) f=X(b1i e2o h1o g0i) g=X(f3o h0o d1i c2i) h=X(g1i f2i e1o d2o) ['name'='L8a_1++']
L8a_1+-,a=X(b3o c0o c3i d0i) b=X(e3i f0o c1o a0i) c=X(a1i b2i g3o a2o) d=X(a3o g2i h3i e0o) e=X(d3i h2i f1o b0o) f=X(b1i e2i h1o g0o) g=X(f3i h0o d1o c2i) h=X(g1i f2i e1o d2o) ['name'='L8a_1+-']
L8a_2++,a=X(b3i c0o c3o d0i) b=X(d3o e0i f3i a0o) c=X(a1i f2o g3o a2i) d=X(a3o g2o g1i b0i) e=X(b1o h0o h3i f0i) f=X(e3o h2i c1i b2o) g=X(h1o d2o d1i c2i) h=X(e1i g0i f1o e2o) ['name'='L8a_2++']
L8a_2+-,a=X(b3o c0o c3i d0i) b=X(d3i e0o f3o a0i) c=X(a1i f2i g3o a2o) d=X(a3o g2i g1i b0o) e=X(b1i h0i h3o f0o) f=X(e3i h2o c1o b2i) g=X(h1i d2o d1o c2i) h=X(e1o g0o f1i e2i) ['name'='L8a_2+-']
L8a_3++,a=X(b3i b2o c3o d0i) b=X(d3o e0i a1i a0o) c=X(e3i f0o f3o a2i) d=X(a3o g0o g3i b0i) e=X(b1o h0i h3i c0o) f=X(c1i h2o g1o c2i) g=X(d1i f2i h1o d2o) h=X(e1o g2i f1i e2o) ['name'='L8a_3++']
L8a_3+-,a=X(b3o b2i c3i d0o) b=X(d3i e0o a1o a0i) c=X(e3i f0i f3o a2o) d=X(a3i g0i g3o b0o) e=X(b1i h0i h3o c0o) f=X(c1o h2o g1i c2i) g=X(d1o f2o h1i d2i) h=X(e1o g2o f1i e2i) ['name'='L8a_3+-']
L8a_4++,a=X(b3i b2i c3o d0o) b=X(e3i c0i a1o a0o) c=X(b1o e2o f3i a2i) d=X(a3i f2i f1o g0o) e=X(g3o h0i c1i b0o) f=X(h3i d2i d1o c2o) g=X(d3i h2o h1o e0i) h=X(e1o g2i g1i f0o) ['name'='L8a_4++']
L8a_4+-,a=X(b3i b2i c3o d0o) b=X(e3i c0i a1o a0o) c=X(b1o e2o f3i a2i) d=X(a3i f2o f1o g0i) e=X(g3o h0i c1i b0o) f=X(h3o d2i d1i c2o) g=X(d3o h2o h1i e0i) h=X(e1o g2o g1i f0i) ['name'='L8a_4+-']
L8a_5++,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i e2o f3o a2i) d=X(b1o f2i f1i g0o) e=X(g3o h0i c1i b2o) f=X(h3i d2o d1o c2i) g=X(d3i h2o h1o e0i) h=X(e1o g2i g1i f0o) ['name'='L8a_5++']
L8a_5+-,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i e2o f3o a2i) d=X(b1o f2o f1i g0i) e=X(g3o h0i c1i b2o) f=X(h3o d2o d1i c2i) g=X(d3o h2o h1i e0i) h=X(e1o g2o g1i f0i) ['name'='L8a_5+-']
L8a_6++,a=X(b3i b2o c3o c2i) b=X(d3o d2i a1i a0o) c=X(e3i f0o a3o a2i) d=X(g3i h0o b1o b0i) e=X(h3o f2i f1i c0o) f=X(c1i e2o e1o g0i) g=X(f3o h2i h1i d0o) h=X(d1i g2o g1o e0i) ['name'='L8a_6++']
L8a_6+-,a=X(b3i b2o c3o c2i) b=X(d3o d2i a1i a0o) c=X(e3i f0o a3o a2i) d=X(g3i h0o b1o b0i) e=X(h3i f2i f1o c0o) f=X(c1i e2i e1o g0o) g=X(f3i h2i h1o d0o) h=X(d1i g2i g1o e0o) ['name'='L8a_6+-']
L8a_7++,a=X(b3i c0i c3o d0o) b=X(d3o e0i f3i a0o) c=X(a1o f2o g3i a2i) d=X(a3i g2o h3o b0i) e=X(b1o h2o h1i f0i) f=X(e3o g0i c1i b2o) g=X(f1o h0i d1i c2o) h=X(g1o e2o e1i d2i) ['name'='L8a_7++']
