name,native notation
L8a_7+-,a=X(b3i c0i c3o d0o) b=X(d3i e0i f3o a0o) c=X(a1o f2o g3i a2i) d=X(a3i g2i h3o b0o) e=X(b1o h2o h1i f0i) f=X(e3o g0o c1i b2i) g=X(f1i h0i d1o c2o) h=X(g1o e2o e1i d2i) ['name'='L8a_7+-']
L8a_8++,a=X(b3i c0o c3o d0i) b=X(d3o e0i c1i a0o) c=X(a1i b2o e3o a2i) d=X(a3o f0o g3i b0i) e=X(b1o h0o f1i c2i) f=X(d1i e2o h3o g0i) g=X(f3o h2i h1i d2o) h=X(e1i g2o g1o f2i) ['name'='L8a_8++']
L8a_8+-,a=X(b3o c0o c3i d0i) b=X(d3i e0o c1o a0i) c=X(a1i b2i e3o a2o) d=X(a3o f0i g3i b0o) e=X(b1i h0o f1o c2i) f=X(d1o e2i h3i g0o) g=X(f3i h2i h1o d2o) h=X(e1i g2i g1o f2o) ['name'='L8a_8+-']
L8a_9++,a=X(b3o b2o c3i d0i) b=X(e3o c0o a1i a0i) c=X(b1i f0i d1o a2o) d=X(a3o c2i f3i g0o) e=X(g3o h0o h3i b0i) f=X(c1o h2i g1i d2o) g=X(d3i f2o h1o e0i) h=X(e1i g2i f1o e2o) ['name'='L8a_9++']
L8a_9+-,a=X(b3i b2o c3o d0i) b=X(e3o c0i a1i a0o) c=X(b1o f0o d1i a2i) d=X(a3o c2o f3i g0i) e=X(g3i h0o h3o b0i) f=X(c1i h2i g1o d2o) g=X(d3o f2i h1i e0o) h=X(e1i g2o f1o e2i) ['name'='L8a_9+-']
L8a_10++,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i e2o f3o a2i) d=X(b1o g0o g3i e0i) e=X(d3o h0i c1i b2o) f=X(h3i h2o g1o c2i) g=X(d1i f2i h1o d2o) h=X(e1o g2i f1i f0o) ['name'='L8a_10++']
L8a_10+-,a=X(b3o c0o c3i b0i) b=X(a3o d0o e3i a0i) c=X(a1i e2i f3o a2o) d=X(b1i g0i g3o e0o) e=X(d3i h0i c1o b2o) f=X(h3o h2o g1i c2i) g=X(d1o f2o h1i d2i) h=X(e1o g2o f1i f0i) ['name'='L8a_10+-']
L8a_11++,a=X(b3i b2o c3o c2i) b=X(d3o d2i a1i a0o) c=X(e3i f0o a3o a2i) d=X(f3i g0o b1o b0i) e=X(g3o g2i h3i c0o) f=X(c1i h2i h1o d0o) g=X(d1i h0o e1o e0i) h=X(g1i f2i f1o e2o) ['name'='L8a_11++']
L8a_11+-,a=X(b3o b2o c3i c2i) b=X(d3o d2o a1i a0i) c=X(e3i f0i a3o a2o) d=X(f3o g0o b1i b0i) e=X(g3i g2i h3o c0o) f=X(c1o h2o h1i d0i) g=X(d1i h0i e1o e0o) h=X(g1o f2o f1i e2i) ['name'='L8a_11+-']
L8a_12++,a=X(b3i b2o c3o c2i) b=X(d3o d2i a1i a0o) c=X(e3i e2o a3o a2i) d=X(f3i g0o b1o b0i) e=X(g3o f0i c1i c0o) f=X(e1o h0i h3i d0o) g=X(d1i h2o h1o e0i) h=X(f1o g2i g1i f2o) ['name'='L8a_12++']
L8a_12+-,a=X(b3o b2o c3i c2i) b=X(d3o d2o a1i a0i) c=X(e3i e2i a3o a2o) d=X(f3o g0o b1i b0i) e=X(g3i f0i c1o c0o) f=X(e1o h0o h3i d0i) g=X(d1i h2i h1o e0o) h=X(f1i g2i g1o f2o) ['name'='L8a_12+-']
L8a_13++,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i e2o d1o a2i) d=X(b1o c2i f3i g0o) e=X(g3o f0i c1i b2o) f=X(e1o h0i h3i d2o) g=X(d3i h2o h1o e0i) h=X(f1o g2i g1i f2o) ['name'='L8a_13++']
L8a_13+-,a=X(b3o c0o c3i b0i) b=X(a3o d0o e3i a0i) c=X(a1i e2i d1o a2o) d=X(b1i c2i f3o g0o) e=X(g3i f0i c1o b2o) f=X(e1o h0o h3i d2i) g=X(d3i h2i h1o e0o) h=X(f1i g2i g1o f2o) ['name'='L8a_13+-']
L8a_14++,a=X(b3i b2o c3o c2i) b=X(d3o d2i a1i a0o) c=X(e3i e2o a3o a2i) d=X(f3i f2o b1o b0i) e=X(g3o g2i c1i c0o) f=X(h3o h2i d1i d0o) g=X(h1i h0o e1o e0i) h=X(g1i g0o f1o f0i) ['name'='L8a_14++']
L8a_14+-,a=X(b3o b2o c3i c2i) b=X(d3o d2o a1i a0i) c=X(e3i e2i a3o a2o) d=X(f3o f2o b1i b0i) e=X(g3i g2i c1o c0o) f=X(h3o h2o d1i d0i) g=X(h1i h0i e1o e0o) h=X(g1o g0o f1i f0i) ['name'='L8a_14+-']
L8a_15+++,a=X(b3o c0o c3i d0i) b=X(e3i e2o c1o a0i) c=X(a1i b2i f3o a2o) d=X(a3o f2i f1i g0o) e=X(g3o h0i b1i b0o) f=X(h3i d2o d1o c2i) g=X(d3i h2o h1o e0i) h=X(e1o g2i g1i f0o) ['name'='L8a_15+++']
L8a_15++-,a=X(b3o c0o c3i d0i) b=X(e3i e2o c1o a0i) c=X(a1i b2i f3o a2o) d=X(a3o f2o f1i g0i) e=X(g3o h0i b1i b0o) f=X(h3o d2o d1i c2i) g=X(d3o h2o h1i e0i) h=X(e1o g2o g1i f0i) ['name'='L8a_15++-']
L8a_15+-+,a=X(b3i c0o c3o d0i) b=X(e3o e2i c1i a0o) c=X(a1i b2o f3o a2i) d=X(a3o f2i f1i g0o) e=X(g3i h0o b1o b0i) f=X(h3i d2o d1o c2i) g=X(d3i h2i h1o e0o) h=X(e1i g2i g1o f0o) ['name'='L8a_15+-+']
L8a_15+--,a=X(b3i c0o c3o d0i) b=X(e3o e2i c1i a0o) c=X(a1i b2o f3o a2i) d=X(a3o f2o f1i g0i) e=X(g3i h0o b1o b0i) f=X(h3o d2o d1i c2i) g=X(d3o h2i h1i e0o) h=X(e1i g2o g1o f0i) ['name'='L8a_15+--']
L8a_16+++,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i f0o g3o a2i) d=X(b1o g2o h3i e0i) e=X(d3o h2i f1i b2o) f=X(c1i e2o h1o g0i) g=X(f3o h0o d1i c2i) h=X(g1i f2i e1o d2o) ['name'='L8a_16+++']
L8a_16++-,a=X(b3o c0o c3i b0i) b=X(a3o d0o e3i a0i) c=X(a1i f0i g3o a2o) d=X(b1i g2o h3o e0i) e=X(d3o h2i f1i b2o) f=X(c1o e2o h1i g0i) g=X(f3o h0o d1i c2i) h=X(g1i f2o e1o d2i) ['name'='L8a_16++-']
L8a_16+-+,a=X(b3i c0o c3o b0i) b=X(a3o d0i e3i a0o) c=X(a1i f0o g3o a2i) d=X(b1o g2i h3i e0o) e=X(d3i h2i f1o b2o) f=X(c1i e2i h1o g0o) g=X(f3i h0o d1o c2i) h=X(g1i f2i e1o d2o) ['name'='L8a_16+-+']
L8a_16+--,a=X(b3o c0o c3i b0i) b=X(a3o d0o e3i a0i) c=X(a1i f0i g3o a2o) d=X(b1i g2i h3o e0o) e=X(d3i h2i f1o b2o) f=X(c1o e2i h1i g0o) g=X(f3i h0o d1o c2i) h=X(g1i f2o e1o d2i) ['name'='L8a_16+--']
L8a_17+++,a=X(b3i b2o c3o c2i) b=X(d3o e0i a1i a0o) c=X(e3i f0o a3o a2i) d=X(f3o g0o g3i b0i) e=X(b1o g2i h3i c0o) f=X(c1i h2o h1o d0i) g=X(d1i h0i e1o d2o) h=X(g1o f2i f1i e2o) ['name'='L8a_17+++']
L8a_17++-,a=X(b3i b2o c3o c2i) b=X(d3o e0i a1i a0o) c=X(e3i f0o a3o a2i) d=X(f3i g0o g3o b0i) e=X(b1o g2i h3i c0o) f=X(c1i h2i h1o d0o) g=X(d1i h0o e1o d2i) h=X(g1i f2i f1o e2o) ['name'='L8a_17++-']
L8a_17+-+,a=X(b3o b2o c3i c2i) b=X(d3o e0o a1i a0i) c=X(e3i f0i a3o a2o) d=X(f3o g0o g3i b0i) e=X(b1i g2i h3o c0o) f=X(c1o h2o h1i d0i) g=X(d1i h0i e1o d2o) h=X(g1o f2o f1i e2i) ['name'='L8a_17+-+']
L8a_17+--,a=X(b3o b2o c3i c2i) b=X(d3o e0o a1i a0i) c=X(e3i f0i a3o a2o) d=X(f3i g0o g3o b0i) e=X(b1i g2i h3o c0o) f=X(c1o h2i h1i d0o) g=X(d1i h0o e1o d2i) h=X(g1i f2o f1o e2i) ['name'='L8a_17+--']
L8a_18+++,a=X(b3o c0o c3i b0i) b=X(a3o d0o d3i a0i) c=X(a1i e0i f3o a2o) d=X(b1i g0i h3o b2o) e=X(c1o h2i h1i f0o) f=X(e3i g2o g1o c2i) g=X(d1o f2i f1i h0o) h=X(g3i e2o e1o d2i) ['name'='L8a_18+++']
L8a_18++-,a=X(b3o c0o c3i b0i) b=X(a3o d0o d3i a0i) c=X(a1i e0i f3o a2o) d=X(b1i g0i h3o b2o) e=X(c1o h2o h1i f0i) f=X(e3o g2o g1i c2i) g=X(d1o f2o f1i h0i) h=X(g3o e2o e1i d2i) ['name'='L8a_18++-']
L8a_18+-+,a=X(b3i c0o c3o b0i) b=X(a3o d0i d3i a0o) c=X(a1i e0o f3o a2i) d=X(b1o g0i h3i b2o) e=X(c1i h2i h1o f0o) f=X(e3i g2o g1o c2i) g=X(d1o f2i f1i h0o) h=X(g3i e2i e1o d2o) ['name'='L8a_18+-+']
L8a_18+--,a=X(b3i c0o c3o b0i) b=X(a3o d0i d3i a0o) c=X(a1i e0o f3o a2i) d=X(b1o g0i h3i b2o) e=X(c1i h2o h1o f0i) f=X(e3o g2o g1i c2i) g=X(d1o f2o f1i h0i) h=X(g3o e2i e1i d2o) ['name'='L8a_18+--']
L8a_19+++,a=X(b3o b2o c3i d0i) b=X(e3o f0o a1i a0i) c=X(f3o g0i d1i a2o) d=X(a3o c2o g3i e0i) e=X(d3o h0o f1i b0i) f=X(b1i e2o h3o c0i) g=X(c1o h2i h1i d2o) h=X(e1i g2o g1o f2i) ['name'='L8a_19+++']
L8a_19++-,a=X(b3i b2o c3o d0i) b=X(e3o f0i a1i a0o) c=X(f3o g0o d1i a2i) d=X(a3o c2o g3i e0i) e=X(d3o h0o f1i b0i) f=X(b1o e2o h3i c0i) g=X(c1i h2i h1o d2o) h=X(e1i g2i g1o f2o) ['name'='L8a_19++-']
L8a_19+-+,a=X(b3o b2o c3i d0i) b=X(e3o f0o a1i a0i) c=X(f3i g0i d1o a2o) d=X(a3o c2i g3i e0o) e=X(d3i h0o f1o b0i) f=X(b1i e2i h3o c0o) g=X(c1o h2i h1i d2o) h=X(e1i g2o g1o f2i) ['name'='L8a_19+-+']
L8a_19+--,a=X(b3i b2o c3o d0i) b=X(e3o f0i a1i a0o) c=X(f3i g0o d1o a2i) d=X(a3o c2i g3i e0o) e=X(d3i h0o f1o b0i) f=X(b1o e2i h3i c0o) g=X(c1i h2i h1o d2o) h=X(e1i g2i g1o f2o) ['name'='L8a_19+--']
L8a_20+++,a=X(b3o b2o c3i d0i) b=X(e3o f0o a1i a0i) c=X(f3i f2i g3o a2o) d=X(a3o g2o g1i e0i) e=X(d3o h0o h3i b0i) f=X(b1i h2i c1o c0o) g=X(h1o d2o d1i c2i) h=X(e1i g0i f1o e2o) ['name'='L8a_20+++']
L8a_20++-,a=X(b3i b2o c3o d0i) b=X(e3o f0i a1i a0o) c=X(f3i f2o g3o a2i) d=X(a3o g2o g1i e0i) e=X(d3o h0o h3i b0i) f=X(b1o h2i c1i c0o) g=X(h1o d2o d1i c2i) h=X(e1i g0i f1o e2o) ['name'='L8a_20++-']
L8a_20+-+,a=X(b3o b2o c3i d0i) b=X(e3o f0o a1i a0i) c=X(f3i f2i g3o a2o) d=X(a3o g2i g1i e0o) e=X(d3i h0o h3o b0i) f=X(b1i h2i c1o c0o) g=X(h1i d2o d1o c2i) h=X(e1i g0o f1o e2i) ['name'='L8a_20+-+']
L8a_20+--,a=X(b3i b2o c3o d0i) b=X(e3o f0i a1i a0o) c=X(f3i f2o g3o a2i) d=X(a3o g2i g1i e0o) e=X(d3i h0o h3o b0i) f=X(b1o h2i c1i c0o) g=X(h1i d2o d1o c2i) h=X(e1i g0o f1o e2i) ['name'='L8a_20+--']
L8a_21++++,a=X(b3o c0o c3i d0i) b=X(e3i f0o f3o a0i) c=X(a1i f2i g3o a2o) d=X(a3o g2o g1i e0i) e=X(d3o h0i h3i b0o) f=X(b1i h2o c1o b2i) g=X(h1o d2o d1i c2i) h=X(e1o g0i f1i e2o) ['name'='L8a_21++++']
L8a_21+++-,a=X(b3o c0o c3i d0i) b=X(e3o f0o f3i a0i) c=X(a1i f2i g3o a2o) d=X(a3o g2o g1i e0i) e=X(d3o h0o h3i b0i) f=X(b1i h2i c1o b2o) g=X(h1o d2o d1i c2i) h=X(e1i g0i f1o e2o) ['name'='L8a_21+++-']
L8a_21++-+,a=X(b3i c0o c3o d0i) b=X(e3i f0i f3o a0o) c=X(a1i f2o g3o a2i) d=X(a3o g2o g1i e0i) e=X(d3o h0i h3i b0o) f=X(b1o h2o c1i b2i) g=X(h1o d2o d1i c2i) h=X(e1o g0i f1i e2o) ['name'='L8a_21++-+']
L8a_21++--,a=X(b3i c0o c3o d0i) b=X(e3o f0i f3i a0o) c=X(a1i f2o g3o a2i) d=X(a3o g2o g1i e0i) e=X(d3o h0o h3i b0i) f=X(b1o h2i c1i b2o) g=X(h1o d2o d1i c2i) h=X(e1i g0i f1o e2o) ['name'='L8a_21++--']
L8a_21+-++,a=X(b3o c0o c3i d0i) b=X(e3i f0o f3o a0i) c=X(a1i f2i g3o a2o) d=X(a3o g2i g1i e0o) e=X(d3i h0i h3o b0o) f=X(b1i h2o c1o b2i) g=X(h1i d2o d1o c2i) h=X(e1o g0o f1i e2i) ['name'='L8a_21+-++']
L8a_21+-+-,a=X(b3o c0o c3i d0i) b=X(e3o f0o f3i a0i) c=X(a1i f2i g3o a2o) d=X(a3o g2i g1i e0o) e=X(d3i h0o h3o b0i) f=X(b1i h2i c1o b2o) g=X(h1i d2o d1o c2i) h=X(e1i g0o f1o e2i) ['name'='L8a_21+-+-']
L8a_21+--+,a=X(b3i c0o c3o d0i) b=X(e3i f0i f3o a0o) c=X(a1i f2o g3o a2i) d=X(a3o g2i g1i e0o) e=X(d3i h0i h3o b0o) f=X(b1o h2o c1i b2i) g=X(h1i d2o d1o c2i) h=X(e1o g0o f1i e2i) ['name'='L8a_21+--+']
L8a_21+---,a=X(b3i c0o c3o d0i) b=X(e3o f0i f3i a0o) c=X(a1i f2o g3o a2i) d=X(a3o g2i g1i e0o) e=X(d3i h0o h3o b0i) f=X(b1o h2i c1i b2o) g=X(h1i d2o d1o c2i) h=X(e1i g0o f1o e2i) ['name'='L8a_21+---']
L8n_1++,a=X(b0i c0o d3o d2i) b=X(a0o e0i f3i g3o) c=X(a1i g2i h3o d0o) d=X(c3i e1o a3o a2i) e=X(b1o d1i h2i f0o) f=X(e3i h1i g0o b2o) g=X(f2i h0o c1o b3i) h=X(g1i f1o e2o c2i) ['name'='L8n_1++']
L8n_1+-,a=X(b0i c0o d3o d2i) b=X(a0o e0o f3i g3i) c=X(a1i g2i h3o d0o) d=X(c3i e1o a3o a2i) e=X(b1i d1i h2o f0o) f=X(e3i h1i g0o b2o) g=X(f2i h0i c1o b3o) h=X(g1o f1o e2i c2i) ['name'='L8n_1+-']
L8n_2++,a=X(b0o c0i d3i d2o) b=X(a0i e3o f3o g0i) c=X(a1o g3o h3i d0i) d=X(c3o e0i a3i a2o) e=X(d1o h2o f0i b1i) f=X(e2o h1o g1i b2i) g=X(b3o f2o h0i c1i) h=X(g2o f1i e1i c2o) ['name'='L8n_2++']
L8n_2+-,a=X(b0o c0i d3i d2o) b=X(a0i e3i f3o g0o) c=X(a1o g3o h3i d0i) d=X(c3o e0i a3i a2o) e=X(d1o h2i f0i b1o) f=X(e2o h1o g1i b2i) g=X(b3i f2o h0o c1i) h=X(g2i f1i e1o c2o) ['name'='L8n_2+-']
L8n_3+++,a=X(b3i b2o c3o c2i) b=X(d0o e0i a1i a0o) c=X(f3i g3o a3o a2i) d=X(b0i g2i h3o e1o) e=X(b1o d3i h2i f0o) f=X(e3i h1i g0o c0o) g=X(f2i h0o d1o c1i) h=X(g1i f1o e2o d2i) ['name'='L8n_3+++']
L8n_3++-,a=X(b3i b2o c3o c2i) b=X(d0o e0i a1i a0o) c=X(f3i g3o a3o a2i) d=X(b0i g2o h3o e1i) e=X(b1o d3o h2i f0i) f=X(e3o h1i g0i c0o) g=X(f2o h0o d1i c1i) h=X(g1i f1o e2o d2i) ['name'='L8n_3++-']
L8n_3+-+,a=X(b3o b2o c3i c2i) b=X(d0o e0o a1i a0i) c=X(f3i g3i a3o a2o) d=X(b0i g2i h3o e1o) e=X(b1i d3i h2o f0o) f=X(e3i h1i g0o c0o) g=X(f2i h0i d1o c1o) h=X(g1o f1o e2i d2i) ['name'='L8n_3+-+']
L8n_3+--,a=X(b3o b2o c3i c2i) b=X(d0o e0o a1i a0i) c=X(f3i g3i a3o a2o) d=X(b0i g2o h3o e1i) e=X(b1i d3o h2o f0i) f=X(e3o h1i g0i c0o) g=X(f2o h0i d1i c1o) h=X(g1o f1o e2i d2i) ['name'='L8n_3+--']
L8n_4+++,a=X(b3o b2o c3i c2i) b=X(d0o e3o a1i a0i) c=X(f3i g0i a3o a2o) d=X(b0i g3o h3o e0i) e=X(d3o h2o f0i b1i) f=X(e2o h1i g1i c0o) g=X(c1o f2o h0i d1i) h=X(g2o f1o e1i d2i) ['name'='L8n_4+++']
L8n_4++-,a=X(b3i b2o c3o c2i) b=X(d0o e3i a1i a0o) c=X(f3i g0o a3o a2i) d=X(b0i g3o h3o e0i) e=X(d3o h2i f0i b1o) f=X(e2o h1i g1i c0o) g=X(c1i f2o h0o d1i) h=X(g2i f1o e1o d2i) ['name'='L8n_4++-']
L8n_4+-+,a=X(b3o b2o c3i c2i) b=X(d0o e3o a1i a0i) c=X(f3i g0i a3o a2o) d=X(b0i g3i h3o e0o) e=X(d3i h2o f0o b1i) f=X(e2i h1i g1o c0o) g=X(c1o f2i h0i d1o) h=X(g2o f1o e1i d2i) ['name'='L8n_4+-+']
L8n_4+--,a=X(b3i b2o c3o c2i) b=X(d0o e3i a1i a0o) c=X(f3i g0o a3o a2i) d=X(b0i g3i h3o e0o) e=X(d3i h2i f0o b1o) f=X(e2i h1i g1o c0o) g=X(c1i f2i h0o d1o) h=X(g2i f1o e1o d2i) ['name'='L8n_4+--']
L8n_5+++,a=X(b3o b2o c3i c2i) b=X(d0o e3o a1i a0i) c=X(f0i g3i a3o a2o) d=X(b0i g2o h3o e0i) e=X(d3o h2o f1i b1i) f=X(c0o e2o h1i g0i) g=X(f3o h0i d1i c1o) h=X(g1o f2o e1i d2i) ['name'='L8n_5+++']
L8n_5++-,a=X(b3i b2o c3o c2i) b=X(d0o e3i a1i a0o) c=X(f0i g3o a3o a2i) d=X(b0i g2o h3o e0i) e=X(d3o h2i f1i b1o) f=X(c0o e2o h1i g0i) g=X(f3o h0o d1i c1i) h=X(g1i f2o e1o d2i) ['name'='L8n_5++-']
L8n_5+-+,a=X(b3o b2o c3i c2i) b=X(d0o e3o a1i a0i) c=X(f0i g3i a3o a2o) d=X(b0i g2i h3o e0o) e=X(d3i h2o f1o b1i) f=X(c0o e2i h1i g0o) g=X(f3i h0i d1o c1o) h=X(g1o f2o e1i d2i) ['name'='L8n_5+-+']
L8n_5+--,a=X(b3i b2o c3o c2i) b=X(d0o e3i a1i a0o) c=X(f0i g3o a3o a2i) d=X(b0i g2i h3o e0o) e=X(d3i h2i f1o b1o) f=X(c0o e2i h1i g0o) g=X(f3i h0o d1o c1i) h=X(g1i f2o e1o d2i) ['name'='L8n_5+--']
L8n_6+++,a=X(b0o c0o c3i d0i) b=X(a0i e0i e3o f0o) c=X(a1i f3i g3o a2o) d=X(a3o g2o g1i e1i) e=X(b1o d3o h3i b2i) f=X(b3i h2i h1o c1o) g=X(h0o d2o d1i c2i) h=X(g0i f2i f1o e2o) ['name'='L8n_6+++']
L8n_6++-,a=X(b0i c0o c3o d0i) b=X(a0o e0i e3i f0o) c=X(a1i f3o g3o a2i) d=X(a3o g2i g1i e1o) e=X(b1o d3i h3i b2o) f=X(b3i h2o h1o c1i) g=X(h0i d2o d1o c2i) h=X(g0o f2i f1i e2o) ['name'='L8n_6++-']
L8n_6+-+,a=X(b0o c0o c3i d0i) b=X(a0i e0o e3o f0i) c=X(a1i f3i g3o a2o) d=X(a3o g2o g1i e1i) e=X(b1i d3o h3o b2i) f=X(b3o h2i h1i c1o) g=X(h0o d2o d1i c2i) h=X(g0i f2o f1o e2i) ['name'='L8n_6+-+']
L8n_6+--,a=X(b0i c0o c3o d0i) b=X(a0o e0o e3i f0i) c=X(a1i f3o g3o a2i) d=X(a3o g2i g1i e1o) e=X(b1i d3i h3o b2o) f=X(b3o h2o h1i c1i) g=X(h0i d2o d1o c2i) h=X(g0o f2o f1i e2i) ['name'='L8n_6+--']
L8n_7++++,a=X(b0o c0o c3i d3i) b=X(a0i e0i f3o f2o) c=X(a1i f1i g0o a2o) d=X(g3i g2i e1o a3o) e=X(b1o d2i h3i h2o) f=X(h1o c1o b3i b2i) g=X(c2i h0i d1o d0o) h=X(g1o f0i e3i e2o) ['name'='L8n_7++++']
L8n_7+++-,a=X(b0o c0o c3i d3i) b=X(a0i e0i f3o f2o) c=X(a1i f1i g0o a2o) d=X(g3o g2i e1i a3o) e=X(b1o d2o h3i h2i) f=X(h1o c1o b3i b2i) g=X(c2i h0o d1o d0i) h=X(g1i f0i e3o e2o) ['name'='L8n_7+++-']
L8n_7++-+,a=X(b0o c0o c3i d3i) b=X(a0i e0o f3o f2i) c=X(a1i f1i g0o a2o) d=X(g3i g2i e1o a3o) e=X(b1i d2i h3o h2o) f=X(h1i c1o b3o b2i) g=X(c2i h0i d1o d0o) h=X(g1o f0o e3i e2i) ['name'='L8n_7++-+']
L8n_7++--,a=X(b0o c0o c3i d3i) b=X(a0i e0o f3o f2i) c=X(a1i f1i g0o a2o) d=X(g3o g2i e1i a3o) e=X(b1i d2o h3o h2i) f=X(h1i c1o b3o b2i) g=X(c2i h0o d1o d0i) h=X(g1i f0o e3o e2i) ['name'='L8n_7++--']
L8n_7+-++,a=X(b0o c0i c3i d3o) b=X(a0i e0i f3o f2o) c=X(a1o f1i g0i a2o) d=X(g3i g2o e1o a3i) e=X(b1o d2i h3i h2o) f=X(h1o c1o b3i b2i) g=X(c2o h0i d1i d0o) h=X(g1o f0i e3i e2o) ['name'='L8n_7+-++']
L8n_7+-+-,a=X(b0o c0i c3i d3o) b=X(a0i e0i f3o f2o) c=X(a1o f1i g0i a2o) d=X(g3o g2o e1i a3i) e=X(b1o d2o h3i h2i) f=X(h1o c1o b3i b2i) g=X(c2o h0o d1i d0i) h=X(g1i f0i e3o e2o) ['name'='L8n_7+-+-']
L8n_7+--+,a=X(b0o c0i c3i d3o) b=X(a0i e0o f3o f2i) c=X(a1o f1i g0i a2o) d=X(g3i g2o e1o a3i) e=X(b1i d2i h3o h2o) f=X(h1i c1o b3o b2i) g=X(c2o h0i d1i d0o) h=X(g1o f0o e3i e2i) ['name'='L8n_7+--+']
L8n_7+---,a=X(b0o c0i c3i d3o) b=X(a0i e0o f3o f2i) c=X(a1o f1i g0i a2o) d=X(g3o g2o e1i a3i) e=X(b1i d2o h3o h2i) f=X(h1i c1o b3o b2i) g=X(c2o h0o d1i d0i) h=X(g1i f0o e3o e2i) ['name'='L8n_7+---']
