name,native notation,symmetry
8_1,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 f2 b1 b0) e=X(g3 h0 c1 c0) f=X(h3 g0 d1 d0) g=X(f1 h2 h1 e0) h=X(e1 g2 g1 f0) ['name'='8_1'],reversible
8_2,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 g2 h3 c2) f=X(d1 h2 h1 g0) g=X(f3 h0 e1 d2) h=X(g1 f2 f1 e2) ['name'='8_2'],reversible
8_3,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 e0 b1 b0) e=X(d1 g0 g3 c0) f=X(c1 h0 h3 d0) g=X(e1 h2 h1 e2) h=X(f1 g2 g1 f2) ['name'='8_3'],fully amphicheiral
8_4,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 g0 b1 b0) e=X(h3 h2 f1 c0) f=X(c1 e2 g1 d0) g=X(d1 f2 h1 h0) h=X(g3 g2 e1 e0) ['name'='8_4'],reversible
8_5,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 g1 e0) e=X(d3 h0 h3 b2) f=X(c1 h2 h1 g0) g=X(f3 d2 d1 c2) h=X(e1 f2 f1 e2) ['name'='8_5'],reversible
8_6,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 d1 a2) d=X(b1 c2 f3 f2) e=X(g3 h0 c1 b2) f=X(h3 g0 d3 d2) g=X(f1 h2 h1 e0) h=X(e1 g2 g1 f0) ['name'='8_6'],reversible
8_7,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 g0 b1 b0) e=X(g3 h0 h3 c0) f=X(c1 h2 g1 d0) g=X(d1 f2 h1 e0) h=X(e1 g2 f1 e2) ['name'='8_7'],reversible
8_8,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 e1 e0) e=X(d3 d2 h3 b2) f=X(c1 h2 h1 g0) g=X(f3 h0 d1 c2) h=X(g1 f2 f1 e2) ['name'='8_8'],reversible
8_9,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 g0 g3 b0) e=X(b1 h0 f1 c0) f=X(c1 e2 h3 d0) g=X(d1 h2 h1 d2) h=X(e1 g2 g1 f2) ['name'='8_9'],fully amphicheiral
8_10,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(f3 g0 a3 a2) d=X(g3 g2 h3 b0) e=X(b1 h2 h1 f0) f=X(e3 h0 g1 c0) g=X(c1 f2 d1 d0) h=X(f1 e2 e1 d2) ['name'='8_10'],reversible
8_11,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 g3 b0) e=X(b1 g2 h3 c0) f=X(d1 h2 h1 g0) g=X(f3 h0 e1 d2) h=X(g1 f2 f1 e2) ['name'='8_11'],reversible
8_12,a=X(b3 c0 c3 d0) b=X(d3 d2 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 f2 b1 b0) e=X(g3 h0 c1 b2) f=X(h3 g0 d1 c2) g=X(f1 h2 h1 e0) h=X(e1 g2 g1 f0) ['name'='8_12'],fully amphicheiral
8_13,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 h3 e0) e=X(d3 h2 c1 b2) f=X(h1 g2 g1 c2) g=X(d1 f2 f1 h0) h=X(g3 f0 e1 d2) ['name'='8_13'],reversible
8_14,a=X(b3 b2 c3 d0) b=X(e3 f0 a1 a0) c=X(f3 d2 d1 a2) d=X(a3 c2 c1 g0) e=X(g3 h0 f1 b0) f=X(b1 e2 h3 c0) g=X(d3 h2 h1 e0) h=X(e1 g2 g1 f2) ['name'='8_14'],reversible
8_15,a=X(b3 b2 c3 d0) b=X(e3 f0 a1 a0) c=X(f3 g0 d1 a2) d=X(a3 c2 h3 e0) e=X(d3 h2 h1 b0) f=X(b1 g2 g1 c0) g=X(c1 f2 f1 h0) h=X(g3 e2 e1 d2) ['name'='8_15'],reversible
